,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.023941599,0.014976899,0.02304641,0.02872589,0.002117011,0.00665619,0.0012355949,0.007212452,0.003061341,0.013553053,0.016383033,0.026502384,0.025155578,0.00083385204
1,0.0058690766,0.056616083,0.0066497745,0.023978416,0.00868724,0.025247341,0.027599163,0.0053578042,0.004300818,0.008817825,0.009064556,0.021348603,0.0550408,0.019510046
2,0.0075168074,0.032095075,0.02834501,0.0065471567,0.027925242,0.047662936,0.012133871,0.015129509,0.01759415,0.03193161,0.005228506,0.050330915,0.008884645,0.022476664
3,0.011999497,0.010593315,0.0036658125,0.0054177223,0.01809909,0.008256431,0.14499009,0.042524833,0.02582247,0.07253462,0.0058636256,0.017149813,0.009023122,0.005415626
4,0.012105202,0.0122202635,0.035312045,0.019338023,0.0041090674,0.10419905,0.008828421,0.08272549,0.25886738,0.10729746,0.0059436928,0.013597937,0.018169582,0.004240301
5,0.010788559,0.02716155,0.022669597,0.009008168,0.0013281947,0.009080413,1.0,0.043023985,0.36326262,0.008712895,0.015753293,0.04217079,0.022687864,0.023309032
6,0.012703983,0.033209354,0.034443147,0.020653645,0.03872945,0.026977383,0.27787134,0.8407981,0.46538782,0.026254395,0.068555206,0.008567265,0.04603063,0.013263022
7,0.022506556,0.0054670637,0.0055463337,0.032795407,0.063316084,0.043645434,0.3716242,0.30035156,0.3226673,0.0069031455,0.23381358,0.010523859,0.0055996114,0.008464577
8,0.028351257,0.009152635,0.014081537,0.030085422,0.014244518,0.004315488,0.31582952,0.04828985,0.44295868,0.073283106,0.1781673,0.22713365,0.012526436,0.008823984
9,0.0042862967,0.0067436188,0.005339289,0.0037932287,0.005547519,0.012476672,0.13737957,0.32094905,0.12510577,0.15149972,0.37721026,0.0052396283,0.002803746,0.030620463
10,0.013735816,0.052816756,0.011380428,0.019193076,0.022205446,0.015210265,0.03266883,0.047774084,0.007825801,0.035623346,0.029535068,0.03246452,0.0006284164,0.014982679
11,0.053284273,0.08626704,0.00959094,0.011129946,0.0074832845,0.05803342,0.018864134,0.016381199,0.003808578,0.01297698,0.014540575,0.010940877,0.014735391,0.008692757
12,0.0054030805,0.0047367727,0.021588396,0.020601152,0.011291518,0.42886534,0.00606768,0.024941912,0.042253595,0.17566511,0.0056267735,0.00841369,0.0051378934,0.006398345
13,0.0061460775,0.014410717,0.012459006,0.017487524,0.009116089,0.19819953,0.0118386,0.0062212152,0.014349435,0.016451184,0.015510745,0.014012424,0.0104096,0.017611451
