,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.031029368,0.034836095,0.021853253,0.042725477,0.21004465,0.03438755,0.0437451,0.0518589,0.1175934,0.04031329,0.01636257,0.01587237,0.011430064,0.0043251324
1,0.0072418707,0.08855502,0.014259783,0.046697956,0.1202367,0.06552617,0.10861053,0.09820288,0.31930473,0.04799219,0.04649141,0.03194545,0.03466421,0.030194288
2,0.01550698,0.016440384,0.020698076,0.010672214,0.1314094,0.060202368,0.22198156,0.055347674,0.07787579,0.037739422,0.062381737,0.049475517,0.029494744,0.015908157
3,0.040109422,0.020886833,0.005187482,0.0145389885,0.106640324,0.0057320376,0.02317054,0.15297441,0.18758716,0.042957336,0.022795472,0.006613036,0.03179469,0.013426977
4,0.04457393,0.016714195,0.01101908,0.014122768,0.25212982,0.16837272,0.10155486,0.58270335,0.042023484,0.09019804,0.052134447,0.01425379,0.02047862,0.032227863
5,0.051872306,0.017212374,0.024477035,0.026846435,0.12659834,0.010763044,0.19057721,0.315049,0.11460818,0.14504379,0.06984934,0.017617231,0.10640788,0.08298733
6,0.02464302,0.02547746,0.020216875,0.09724005,0.078689955,0.22116774,0.21528853,0.24099946,0.2785239,0.0890818,0.05204043,0.12252763,0.10295236,0.06834637
7,0.09695007,0.0052347044,0.0069784406,0.040406924,0.06771598,0.12354879,0.16504863,0.2510611,0.50860804,0.18726484,0.010884782,0.03268586,0.014105744,0.023158075
8,0.019008312,0.014630595,0.03803181,0.019941559,0.0903409,0.2055109,0.14529349,0.19803484,0.21749061,0.17926116,0.019383823,0.016069025,0.009181569,0.14711697
9,0.013181664,0.037393976,0.0032325534,0.032898273,0.080913626,0.3085506,0.15,0.08394174,0.111924864,0.07857206,0.018643504,0.010745436,0.021766514,0.048107635
10,0.0188272,0.07631306,0.05456377,0.03433828,0.13369727,0.13221271,0.14656372,0.11179547,0.07874693,0.023219533,0.022200955,0.05820176,0.052555215,0.07923052
11,0.053032197,0.12744635,0.0022783664,0.036995813,0.1577248,0.21457475,0.09611818,0.030398082,0.036319703,0.028260667,0.020381672,0.06330352,0.023766654,0.14781466
12,0.008066734,0.010178024,0.10629382,0.02698785,0.060254477,0.08365195,0.077721216,0.0699002,0.23422556,0.038081482,0.053889792,0.027880153,0.11577892,0.078539565
13,0.028525604,0.013009974,0.004660063,0.00915588,0.057776965,0.03817205,0.17203113,0.0045733475,0.027346613,0.05470856,0.19865394,0.19861616,0.032345336,0.060878534
