,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.005407383,0.052675992,0.0060443445,0.010100334,0.009367546,0.013113415,0.004035199,0.025632666,0.0048859506,0.051843565,0.008028397,0.0028798736,0.0019332154,0.0013978109
1,0.0017591674,0.07969785,0.0038400707,0.0214011,0.0018600983,0.015659662,0.0074724834,0.0013565385,0.031920996,0.03495692,0.0013458851,0.018325496,0.011796158,0.013019185
2,0.0010969948,0.053006202,0.0052488465,0.0038827704,0.0058558304,0.094758295,0.029311556,0.024554778,0.0080231195,0.08238919,0.0056627723,0.03667663,0.0161907,0.00629639
3,0.012861093,0.07750374,0.0012344902,0.0039356174,0.017114745,0.021664472,0.13312988,0.033084676,0.056168888,0.044740874,0.008042586,0.0011575655,0.01869816,0.0041132523
4,0.0075073014,0.023076557,0.020761196,0.008712268,0.039343733,0.060520336,0.0076547144,0.010743215,0.10388747,0.066504315,0.017578976,0.003562713,0.011741057,0.002018772
5,0.024409745,0.03873168,0.014495245,0.001894356,0.024207214,0.037494134,0.03832747,0.021544198,0.011919694,0.0643137,0.009519463,0.007117597,0.015234493,0.026943967
6,0.0053366534,0.18572117,0.008631853,0.0067549525,0.0136373425,0.035288118,0.05494201,0.14129552,0.04910493,0.059270743,0.012149833,0.004624763,0.030370973,0.010079309
7,0.039679393,0.07484731,0.007993598,0.02102132,0.036692955,0.021926591,0.061796732,0.032233216,0.019480478,0.054195594,0.002822253,0.01175226,0.008469814,0.0026904251
8,0.0027672334,0.050603412,0.007662434,0.011781196,0.013162034,0.027385468,0.060617585,0.034781408,0.01756775,0.052783825,0.011593882,0.0019243726,0.0019623807,0.014275456
9,0.011033756,0.033660308,0.008673708,0.07002227,0.0023108062,0.05079737,0.06412455,0.015000001,0.08117087,0.03678722,0.0021795647,0.0016344001,0.002613328,0.010799134
10,0.004884148,0.039781522,0.031752978,0.013040942,0.01730399,0.03826634,0.016787607,0.024206933,0.023899576,0.023849143,0.007951159,0.041805025,0.004409657,0.008230078
11,0.023900565,0.027378712,0.003301381,0.014065803,0.005199949,0.00907224,0.0036972598,0.03078405,0.020493116,0.01062785,0.024537774,0.00067776593,0.0027151792,0.0032972763
12,0.0011114056,0.0077454923,0.035743542,0.013811913,0.008361888,0.09131186,0.009378523,0.002272275,0.023778543,0.012342999,0.009587714,0.006398597,0.0013804424,0.0028534264
13,0.012948732,0.06492835,0.08871097,0.014122143,0.0014400397,0.019723097,0.0009521,0.025540717,0.038212053,0.012726114,0.0054268334,0.0064234985,0.0021095213,0.035801314
